time_window,experiment_id,experiment_condition,experiment_type,treatment,experiment_phase,analysis_stage,model_type,mean_value,std_dev,data_points,measurement_uncertainty_avg,quality_score
2024-01-01 08:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,12.62,0.24,4,0.15,0.88
2024-01-01 09:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,13.28,0.25,4,0.15,0.88
2024-01-01 10:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,14.11,0.31,4,0.16,0.75
2024-01-01 11:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,14.78,0.33,4,0.15,0.88
2024-01-01 12:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,linear_regression,15.29,0.17,4,0.15,0.88
2024-01-01 12:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,linear_regression,15.56,0.24,4,0.15,0.88
2024-01-01 13:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,linear_regression,16.13,0.31,4,0.15,0.88
2024-01-01 14:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,linear_regression,16.68,0.15,4,0.15,0.88
2024-01-01 14:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,testing,publication,linear_regression,16.91,0.31,4,0.14,0.88
2024-01-01 15:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,testing,publication,linear_regression,17.25,0.17,2,0.13,1.00
2024-01-01 15:00:00,EXP001,treatment_group_a,Drug_Efficacy,treatment_group_a,final,publication,linear_regression,17.42,0.00,1,0.09,1.00
2024-01-01 08:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,10.49,0.36,4,0.21,0.75
2024-01-01 09:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,11.22,0.34,4,0.19,0.88
2024-01-01 10:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,11.94,0.32,4,0.21,0.75
2024-01-01 11:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,12.68,0.29,4,0.18,0.88
2024-01-01 12:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,training,exploratory,random_forest,13.15,0.00,1,0.23,0.88
2024-01-01 12:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,validation,presentation,random_forest,13.52,0.28,4,0.17,0.88
2024-01-01 13:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,validation,presentation,random_forest,14.17,0.31,4,0.19,0.88
2024-01-01 14:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,validation,presentation,random_forest,14.64,0.00,1,0.21,0.88
2024-01-01 14:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,testing,publication,random_forest,15.11,0.32,4,0.16,0.88
2024-01-01 15:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,testing,publication,random_forest,15.39,0.00,1,0.18,0.88
2024-01-01 15:00:00,EXP002,treatment_group_b,Drug_Efficacy,treatment_group_b,final,publication,random_forest,15.57,0.00,1,0.11,1.00
2024-01-01 08:00:00,EXP003,control_group,Drug_Efficacy,control_group,training,exploratory,ensemble,8.84,0.24,4,0.27,0.75
2024-01-01 09:00:00,EXP003,control_group,Drug_Efficacy,control_group,training,exploratory,ensemble,9.46,0.29,4,0.26,0.75
2024-01-01 10:00:00,EXP003,control_group,Drug_Efficacy,control_group,training,exploratory,ensemble,10.09,0.25,4,0.27,0.75
2024-01-01 11:00:00,EXP003,control_group,Drug_Efficacy,control_group,training,exploratory,ensemble,10.72,0.28,4,0.27,0.75
2024-01-01 12:00:00,EXP003,control_group,Drug_Efficacy,control_group,training,exploratory,ensemble,10.99,0.00,1,0.25,0.88
2024-01-01 12:00:00,EXP003,control_group,Drug_Efficacy,control_group,validation,presentation,ensemble,11.36,0.32,4,0.24,0.88
2024-01-01 13:00:00,EXP003,control_group,Drug_Efficacy,control_group,validation,presentation,ensemble,11.78,0.30,4,0.24,0.75
2024-01-01 14:00:00,EXP003,control_group,Drug_Efficacy,control_group,validation,presentation,ensemble,12.15,0.00,1,0.23,0.88
2024-01-01 14:00:00,EXP003,control_group,Drug_Efficacy,control_group,testing,publication,ensemble,12.51,0.29,4,0.20,0.88
2024-01-01 15:00:00,EXP003,control_group,Drug_Efficacy,control_group,testing,publication,ensemble,12.73,0.00,1,0.21,0.88
2024-01-01 15:00:00,EXP003,control_group,Drug_Efficacy,control_group,final,publication,ensemble,12.87,0.00,1,0.16,0.88
2024-01-02 08:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,training,exploratory,linear_regression,14.36,0.23,4,0.15,0.88
2024-01-02 09:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,training,exploratory,linear_regression,15.03,0.26,4,0.16,0.88
2024-01-02 10:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,training,exploratory,linear_regression,15.69,0.24,4,0.14,0.88
2024-01-02 11:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,training,exploratory,linear_regression,16.34,0.25,4,0.15,0.88
2024-01-02 12:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,training,exploratory,linear_regression,16.76,0.00,1,0.20,0.50
2024-01-02 12:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,validation,presentation,linear_regression,17.19,0.25,4,0.15,0.88
2024-01-02 13:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,validation,presentation,linear_regression,17.66,0.27,4,0.15,0.88
2024-01-02 14:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,validation,presentation,linear_regression,18.08,0.00,1,0.19,0.88
2024-01-02 14:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,testing,publication,linear_regression,18.50,0.31,4,0.15,0.88
2024-01-02 15:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,testing,publication,linear_regression,18.74,0.00,1,0.14,0.88
2024-01-02 15:00:00,EXP004,combined_groups,Drug_Efficacy,combined_groups,final,publication,linear_regression,18.90,0.00,1,0.10,1.00
2024-01-03 08:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,random_forest,11.67,0.33,4,0.17,0.88
2024-01-03 09:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,random_forest,12.31,0.32,4,0.17,0.88
2024-01-03 10:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,random_forest,12.93,0.29,4,0.18,0.75
2024-01-03 11:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,random_forest,13.61,0.36,4,0.17,0.88
2024-01-03 12:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,training,exploratory,random_forest,14.14,0.00,1,0.21,0.88
2024-01-03 12:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,random_forest,14.57,0.23,4,0.15,0.88
2024-01-03 13:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,random_forest,15.11,0.31,4,0.16,0.75
2024-01-03 14:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,validation,presentation,random_forest,15.54,0.00,1,0.19,0.88
2024-01-03 14:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,testing,publication,random_forest,15.98,0.30,4,0.14,0.88
2024-01-03 15:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,testing,publication,random_forest,16.24,0.00,1,0.14,0.88
2024-01-03 15:00:00,EXP005,treatment_group_a,Drug_Efficacy,treatment_group_a,final,publication,random_forest,16.42,0.00,1,0.10,1.00
2024-01-04 08:00:00,EXP006,control_group,Drug_Efficacy,control_group,training,exploratory,linear_regression,10.06,0.31,4,0.25,0.75
2024-01-04 09:00:00,EXP006,control_group,Drug_Efficacy,control_group,training,exploratory,linear_regression,10.65,0.30,4,0.26,0.75
2024-01-04 10:00:00,EXP006,control_group,Drug_Efficacy,control_group,training,exploratory,linear_regression,11.21,0.28,4,0.25,0.75
2024-01-04 11:00:00,EXP006,control_group,Drug_Efficacy,control_group,training,exploratory,linear_regression,11.80,0.30,4,0.25,0.75
2024-01-04 12:00:00,EXP006,control_group,Drug_Efficacy,control_group,training,exploratory,linear_regression,12.18,0.00,1,0.25,0.88
2024-01-04 12:00:00,EXP006,control_group,Drug_Efficacy,control_group,validation,presentation,linear_regression,12.56,0.30,4,0.24,0.88
2024-01-04 13:00:00,EXP006,control_group,Drug_Efficacy,control_group,validation,presentation,linear_regression,13.06,0.29,4,0.24,0.88
2024-01-04 14:00:00,EXP006,control_group,Drug_Efficacy,control_group,validation,presentation,linear_regression,13.38,0.00,1,0.25,0.88
2024-01-04 14:00:00,EXP006,control_group,Drug_Efficacy,control_group,testing,publication,linear_regression,13.76,0.26,4,0.20,0.88
2024-01-04 15:00:00,EXP006,control_group,Drug_Efficacy,control_group,testing,publication,linear_regression,13.98,0.00,1,0.22,0.88
2024-01-04 15:00:00,EXP006,control_group,Drug_Efficacy,control_group,final,publication,linear_regression,14.13,0.00,1,0.16,0.88