treatment,measurement_type,mean,std_error,confidence_interval_lower,confidence_interval_upper,sample_count,effect_size,measurement_unit,experimental_phase,analysis_stage
control,biomarker_alpha,23.12,0.604,21.94,24.30,15,0.000,mg/mL,training,exploratory
treatment_A,biomarker_alpha,30.87,0.806,29.29,32.45,15,2.781,mg/mL,training,exploratory
treatment_B,biomarker_alpha,42.15,1.092,39.83,44.47,15,5.823,mg/mL,training,exploratory
control,biomarker_beta,18.67,0.488,17.71,19.63,15,0.000,µg/L,training,exploratory
treatment_A,biomarker_beta,25.43,0.689,24.08,26.78,15,2.738,µg/L,training,exploratory
treatment_B,biomarker_beta,33.78,0.890,32.04,35.52,15,4.596,µg/L,training,exploratory
control,efficacy_score,71.80,1.163,69.52,74.08,20,0.000,score,validation,presentation
treatment_A,efficacy_score,83.60,1.073,81.50,85.70,20,2.190,score,validation,presentation
treatment_B,efficacy_score,92.40,0.805,90.83,93.97,20,4.258,score,validation,presentation
control,response_time,152.30,2.776,146.86,157.74,25,0.000,ms,validation,presentation
treatment_A,response_time,132.80,2.140,128.61,136.99,25,-1.572,ms,validation,presentation
treatment_B,response_time,116.90,1.780,113.41,120.39,25,-2.852,ms,validation,presentation
control,accuracy_metric,0.817,0.0062,0.805,0.829,30,0.000,proportion,testing,publication
treatment_A,accuracy_metric,0.891,0.0051,0.881,0.901,30,2.432,proportion,testing,publication
treatment_B,accuracy_metric,0.942,0.0038,0.935,0.949,30,4.125,proportion,testing,publication
control,throughput_rate,852.10,9.119,834.23,869.97,18,0.000,ops/sec,testing,publication
treatment_A,throughput_rate,973.20,9.968,953.66,992.74,18,2.871,ops/sec,testing,publication
treatment_B,throughput_rate,1134.70,12.064,1111.05,1158.35,18,6.912,ops/sec,testing,publication
control,error_rate,0.0823,0.0033,0.0758,0.0888,22,0.000,proportion,final,publication
treatment_A,error_rate,0.0543,0.0026,0.0492,0.0594,22,-1.846,proportion,final,publication
treatment_B,error_rate,0.0312,0.0019,0.0275,0.0349,22,-3.279,proportion,final,publication
control,memory_usage,2834.60,40.165,2755.88,2913.32,16,0.000,MB,final,publication
treatment_A,memory_usage,2478.30,35.185,2409.34,2547.26,16,-1.969,MB,final,publication
treatment_B,memory_usage,2089.70,30.557,2030.03,2149.37,16,-5.154,MB,final,publication